Items,PastHelp_BSI,PastHelp_CERTl,PastHelp_Police,PastHelp_Manuf,PastHelp_Provider,PastHelp_ConsOffice,PastHelp_EmployerIT,PastHelp_PCShop,PastHelp_PublicMed,PastHelp_PrivateMed,PastHelp_Forum,PastHelp_IntExperts,PastHelp_Influencer,PastHelp_Family,PastHelp_Colleague,PastHelp_Self
PastHelp_BSI,1.0,0.68,0.45,0.48,0.42,0.49,0.4,0.36,0.41,0.44,0.44,0.47,0.36,0.2,0.32,0.06
PastHelp_CERTl,0.68,1.0,0.39,0.43,0.39,0.46,0.43,0.4,0.46,0.49,0.43,0.51,0.47,0.18,0.33,0.06
PastHelp_Police,0.45,0.39,1.0,0.51,0.53,0.56,0.32,0.35,0.29,0.29,0.24,0.34,0.19,0.31,0.25,-0.09
PastHelp_Manuf,0.48,0.43,0.51,1.0,0.6,0.54,0.42,0.39,0.38,0.37,0.4,0.46,0.27,0.32,0.38,0.07
PastHelp_Provider,0.42,0.39,0.53,0.6,1.0,0.61,0.37,0.43,0.37,0.35,0.37,0.38,0.27,0.32,0.36,0.0
PastHelp_ConsOffice,0.49,0.46,0.56,0.54,0.61,1.0,0.39,0.47,0.43,0.38,0.34,0.46,0.28,0.35,0.34,0.0
PastHelp_EmployerIT,0.4,0.43,0.32,0.42,0.37,0.39,1.0,0.42,0.41,0.44,0.4,0.47,0.31,0.26,0.55,0.08
PastHelp_PCShop,0.36,0.4,0.35,0.39,0.43,0.47,0.42,1.0,0.45,0.43,0.39,0.44,0.33,0.31,0.41,0.0
PastHelp_PublicMed,0.41,0.46,0.29,0.38,0.37,0.43,0.41,0.45,1.0,0.76,0.39,0.46,0.47,0.19,0.3,0.11
PastHelp_PrivateMed,0.44,0.49,0.29,0.37,0.35,0.38,0.44,0.43,0.76,1.0,0.42,0.5,0.51,0.18,0.33,0.13
PastHelp_Forum,0.44,0.43,0.24,0.4,0.37,0.34,0.4,0.39,0.39,0.42,1.0,0.6,0.36,0.23,0.39,0.21
PastHelp_IntExperts,0.47,0.51,0.34,0.46,0.38,0.46,0.47,0.44,0.46,0.5,0.6,1.0,0.54,0.28,0.41,0.1
PastHelp_Influencer,0.36,0.47,0.19,0.27,0.27,0.28,0.31,0.33,0.47,0.51,0.36,0.54,1.0,0.14,0.29,0.1
PastHelp_Family,0.2,0.18,0.31,0.32,0.32,0.35,0.26,0.31,0.19,0.18,0.23,0.28,0.14,1.0,0.5,-0.07
PastHelp_Colleague,0.32,0.33,0.25,0.38,0.36,0.34,0.55,0.41,0.3,0.33,0.39,0.41,0.29,0.5,1.0,0.09
PastHelp_Self,0.06,0.06,-0.09,0.07,0.0,0.0,0.08,0.0,0.11,0.13,0.21,0.1,0.1,-0.07,0.09,1.0
