Items,PastVictim_Virus,PastVictim_DDoS,PastVictim_PerfTheft,PastVictim_APT,PastVictim_Sidechannel,PastVictim_Spam,PastVictim_CyBully,PastVictim_CyStalk,PastVictim_IDTheft,PastVictim_Ransomware,PastVictim_ShopScam,PastVictim_Scareware,PastVictim_Spyware,PastVictim_Phishing,PastVictim_Doxing,PastVictim_SocEng,PastVictim_SocMedHack
PastVictim_Virus,1.0,0.48,0.38,0.42,0.43,0.27,0.36,0.38,0.39,0.35,0.36,0.5,0.63,0.53,0.41,0.47,0.46
PastVictim_DDoS,0.48,1.0,0.64,0.67,0.62,0.15,0.5,0.51,0.49,0.35,0.4,0.6,0.6,0.54,0.6,0.63,0.55
PastVictim_PerfTheft,0.38,0.64,1.0,0.78,0.75,0.0,0.58,0.58,0.56,0.39,0.5,0.63,0.57,0.55,0.63,0.72,0.5
PastVictim_APT,0.42,0.67,0.78,1.0,0.82,0.08,0.56,0.6,0.61,0.39,0.5,0.61,0.59,0.55,0.7,0.74,0.57
PastVictim_Sidechannel,0.43,0.62,0.75,0.82,1.0,0.12,0.58,0.58,0.63,0.4,0.51,0.61,0.6,0.62,0.7,0.7,0.54
PastVictim_Spam,0.27,0.15,0.0,0.08,0.12,1.0,0.14,0.14,0.15,0.26,0.14,0.13,0.25,0.22,0.11,0.11,0.23
PastVictim_CyBully,0.36,0.5,0.58,0.56,0.58,0.14,1.0,0.64,0.51,0.24,0.39,0.44,0.46,0.49,0.56,0.53,0.46
PastVictim_CyStalk,0.38,0.51,0.58,0.6,0.58,0.14,0.64,1.0,0.59,0.33,0.41,0.45,0.51,0.5,0.58,0.58,0.46
PastVictim_IDTheft,0.39,0.49,0.56,0.61,0.63,0.15,0.51,0.59,1.0,0.34,0.4,0.5,0.53,0.55,0.55,0.57,0.59
PastVictim_Ransomware,0.35,0.35,0.39,0.39,0.4,0.26,0.24,0.33,0.34,1.0,0.25,0.38,0.43,0.43,0.32,0.39,0.36
PastVictim_ShopScam,0.36,0.4,0.5,0.5,0.51,0.14,0.39,0.41,0.4,0.25,1.0,0.42,0.49,0.48,0.48,0.5,0.41
PastVictim_Scareware,0.5,0.6,0.63,0.61,0.61,0.13,0.44,0.45,0.5,0.38,0.42,1.0,0.65,0.6,0.54,0.56,0.5
PastVictim_Spyware,0.63,0.6,0.57,0.59,0.6,0.25,0.46,0.51,0.53,0.43,0.49,0.65,1.0,0.69,0.61,0.6,0.54
PastVictim_Phishing,0.53,0.54,0.55,0.55,0.62,0.22,0.49,0.5,0.55,0.43,0.48,0.6,0.69,1.0,0.57,0.58,0.58
PastVictim_Doxing,0.41,0.6,0.63,0.7,0.7,0.11,0.56,0.58,0.55,0.32,0.48,0.54,0.61,0.57,1.0,0.68,0.49
PastVictim_SocEng,0.47,0.63,0.72,0.74,0.7,0.11,0.53,0.58,0.57,0.39,0.5,0.56,0.6,0.58,0.68,1.0,0.52
PastVictim_SocMedHack,0.46,0.55,0.5,0.57,0.54,0.23,0.46,0.46,0.59,0.36,0.41,0.5,0.54,0.58,0.49,0.52,1.0
